word,pos,phonetic,chinese,definition_en,synonym1,synonym2,synonym3,easy_sentence,part3_sentence,sentence_cn_easy,sentence_cn_part3
decrease,v.,/dɪˈkriːs/,减少,to become less,drop,fall,reduce,The number of cars ______ this year.,Air pollution can ______ with more trees.,汽车数量今年下降。,多种树能减少空气污染。
definition,n.,/ˌdɛfɪˈnɪʃən/,定义,the meaning of a word,meaning,sense,explanation,Look up the ______ in the book.,A clear ______ helps you use a word right.,在书里查词义。,清晰的定义帮你用对词。
deliver,v.,/dɪˈlɪvə/,送达,to take something to a person,bring,carry,send,They ______ the parcel to my door.,Shops ______ food to busy families.,他们把包裹送到我家门口。,商店给忙碌家庭送餐。
description,n.,/dɪˈskrɪpʃən/,说明；形容,words that say what something is,account,picture,explanation,Give a ______ of your room.,A clear ______ helps others see your idea.,描述一下你的房间。,清晰描述帮他人理解你的想法。
desktop,n.,/ˈdɛsktɒp/,台式电脑,the main screen of a computer,screen,home screen,workspace,"Save the file on the ______, not lost.",A tidy ______ saves time when you study.,把文件存在桌面，别弄丢。,整洁的桌面节省学习时间。
device,n.,/dɪˈvaɪs/,设备,a machine made for a use,tool,gadget,machine,This ______ helps you learn words.,A small ______ puts a library in your bag.,这个设备帮你记单词。,小设备把图书馆装进书包。
diagram,n.,/ˈdaɪəɡræm/,图表,a simple drawing that explains,drawing,chart,picture,The ______ shows how it works.,A good ______ explains a hard idea fast.,图示展示它如何运作。,好图示快速解释难概念。
digital,adj.,/ˈdɪʤɪtəl/,数码的,using computer numbers,electronic,computer,online,We live in a ______ age now.,A ______ city serves people through screens.,我们生活在数字时代。,数字城市通过屏幕服务民众。
display,v.,/dɪˈspleɪ/,显示,to show something to people,show,exhibit,screen,The screen ______ the final score.,A board ______ the next bus time.,屏幕显示最终比分。,电子牌显示下趟公交时间。
document,n.,/ˈdɒkjəmənt/,文档,a paper or file with text,paper,file,text,Open the ______ on your laptop.,A shared ______ helps a team work together.,在你的笔记本打开文档。,共享文档帮助团队协作。
file,n.,/faɪl/,档案,a saved piece of data,document,record,data,Save the ______ before you close it.,Keep a copy of every important ______.,关闭前保存文件。,重要文件都要留副本。
grade,n.,/ɡreɪd/,年级,a mark given for work,mark,score,level,He got a good ______ on the test.,A fair ______ motivates a student.,他测验得了好分数。,公平分数激励学生。
impossible,adj.,/ɪmˈpɒsəbəl/,不可能的,not able to be done,not possible,out of reach,unable,It is ______ to finish in one hour.,Nothing is ______ with daily effort.,一小时完成不可能。,每日努力无事不可能。
in fact,phr.,/ɪn/ /fækt/,事实上,really; the truth is,actually,really,as a matter of fact,"______, I like the book a lot.","______, reading beats watching for memory.",其实我很喜欢这本书。,其实阅读比观看更利记忆。
infinitive,n.,/ɪnˈfɪnɪtɪv/,（动词）原形，不定式,the base form of a verb (to + verb),base form,to-form,verb form,To go is the ______ of go.,The ______ is the start of every verb.,To go 是 go 的不定式。,不定式是每个动词的开头。
landline,n.,/ˈlændlaɪn/,固定电话,a phone fixed by a wire,fixed phone,wire phone,home phone,Call me on my ______ at home.,A ______ still works when mobiles fail.,打我家座机找我。,手机失灵时座机仍可用。
line,n.,/laɪn/,线；线条,a long thin mark or row,row,mark,stroke,Draw a straight ______ under the word.,Wait in a ______ for the bus.,在词下画条直线。,排队等公交。
look like,phr.,/lʊk/ /laɪk/,看起来像……,to resemble someone or something,resemble,appear as,seem,He ______ his father in many ways.,A town may ______ its history.,他在很多方面像父亲。,城镇可能像它的历史。
microphone,n.,/ˈmaɪkrəfəʊn/,麦克风,a tool that makes the voice louder,mic,mike,voice tool,"Speak into the ______, please, clearly.",A good ______ helps a shy child be heard.,请对着麦克风清楚地说。,好麦克风让害羞的孩子被听见。
million,n.,/ˈmɪljən/,一百万,"a thousand thousand (1,000,000)",1000000,a great number,heap,The city has two ______ people.,A ______ trees would clean the air.,这座城市有两百万人。,一百万棵树能净化空气。
millions of,phr.,/ˈmɪljənz/ /ɒv/,大量的；数以百万计的,a very huge number,countless,many,numerous,______ people use the app daily.,______ students learn online.,数百万人每天用这个应用。,数百万学生在线学习。
ordinary,adj.,/ˈɔːdənəri/,普通的；平凡的,normal; not special,normal,usual,common,It was an ______ day at school.,An ______ park can be a child's world.,那是学校普通的一天。,普通的公园可以是孩子的世界。
paraphrase,v.,/ˈpærəfreɪz/,改述,to say the same thing in other words,reword,restate,rephrase,Can you ______ this long sentence?,Learn to ______ to show real understanding.,你能改写这个长句吗？,学会改写以展示真正理解。
particular,adj.,/pəˈtɪkjələ/,特定的，具体的,special; this one and not others,specific,special,certain,I like this ______ song the most.,Each ______ child needs a particular care.,我最喜欢这首特定的歌。,每个特定的孩子需要特定的关怀。
peer-to-peer,adj.,/pɪə/-/tuː/-/pɪə/,点对点的,direct between two users,P2P,user-to-user,direct,"It is a ______ sharing app, not a shop.",A ______ network lets users help users.,这是点对点共享应用，不是商店。,点对点网络让用户帮用户。
percentage,n.,/pəˈsɛntɪʤ/,百分比,an amount out of a hundred,percent,rate,share,What ______ of students passed?,The ______ of readers rises with free books.,百分之多少学生通过了？,读者比例随免费书上升。
period,n.,/ˈpɪəriəd/,时期,a length of time,time,span,stage,We rested for a short ______.,A long ______ of rain can flood a city.,我们休息了一小段时间。,长时间降雨能淹没城市。
plastic,n.,/ˈplæstɪk/,塑料,a light man-made material,synthetic,polymer,resin,"The cup is made of ______, not glass.",Too much ______ harms the sea.,杯子是塑料做的，不是玻璃。,过多塑料危害海洋。
plug in,phr.,/plʌɡ/ /ɪn/,插上插头,to connect to a power supply,connect,insert,power up,______ the laptop before the class.,Remember to ______ devices after use.,课前给笔记本插上电。,记得用后拔掉设备电源。
power,n.,/ˈpaʊə/,力量；能量,energy used to make things work,energy,force,strength,The ______ went off in the storm.,Clean ______ keeps a city running.,停电了，因为暴风雨。,清洁电力让城市运转。
receive,v.,/rɪˈsiːv/,收到,to get something that is sent,get,accept,take,I ______ a letter from my aunt.,A school should ______ every child with care.,我收到姑姑的信。,学校应悉心接收每个孩子。
release,v.,/rɪˈliːs/,放开；松开,to let go or publish something,publish,issue,set free,They ______ a new study app.,A city may ______ data for the public.,他们发布了一款新学习应用。,城市可发布数据给公众。
rich,adj.,/rɪʧ/,富有的；富裕的,having a lot of money,wealthy,well-off,affluent,The ______ family gave to the school.,A ______ city can fund good schools.,富裕家庭捐给了学校。,富裕城市能资助好学校。
rise,v.,/raɪz/,上升,to go up or increase,go up,climb,increase,The sun ______ in the east each day.,House prices ______ near good schools.,太阳每天从东方升起。,好学校附近房价上涨。
scientist,n.,/ˈsaɪəntɪst/,科学家,a person who studies science,researcher,scholar,expert,The ______ won an award for her work.,A ______ tests ideas before stating them.,那位科学家因工作获奖。,科学家在下结论前先验证想法。
seem,v.,/siːm/,好像；似乎,to appear to be something,appear,look,feel,He ______ happy about the result.,A small park ______ to make people smile.,他似乎对结果满意。,小公园似乎让人微笑。
side,n.,/saɪd/,侧面,the edge or part of something,edge,part,border,We sat on the ______ of the pool.,A safe ______ of the road needs a rail.,我们坐在泳池边。,路边安全处需要护栏。
smartphone,n.,/ˈsmɑːtfəʊn/,智能手机,a phone with computer features,mobile,cell,handset,She learnt words on her ______.,A ______ puts a tutor in your pocket.,她在智能手机上记单词。,智能手机把老师装进口袋。
spell,v.,/spɛl/,用字母拼；拼写,to write the letters of a word,write,letter,say letters,How do you ______ this long word?,Learn to ______ well to be understood.,这个长词怎么拼？,学好拼写才能被理解。
statement,n.,/ˈsteɪtmənt/,陈述,something stated clearly,remark,claim,sentence,He made a clear ______ about it.,A short ______ shows what you think.,他对此做了清晰陈述。,简短陈述表明你的想法。
stream,v.,/striːm/,在线收听（或收看）,to play data as it arrives,flow,feed,current,You can ______ the film at home.,Schools can ______ lessons to remote kids.,你可以在家在线播放这部电影。,学校可把课程直播给偏远孩子。
success,n.,/səkˈsɛs/,成功,doing well; reaching a goal,win,achievement,triumph,Hard work brings ______ in study.,A city's ______ depends on its people.,努力带来学业成功。,城市的成功取决于其人民。
suddenly,adv.,/ˈsʌdənli/,突然；忽然,quickly and without warning,all at once,abruptly,unexpectedly,It ______ started to rain hard.,The light ______ went out in the storm.,突然下起大雨。,灯在暴风雨中突然熄灭。
summary,n.,/ˈsʌməri/,总结,a short account of the main points,brief,overview,abstract,Write a ______ of the long text.,A good ______ shows you understood it.,写一段长文的摘要。,好摘要表明你理解了。
swipe,v.,/swaɪp/,滑动屏幕,to move a finger across a screen,slide,brush,flick,______ left to see more photos.,Kids ______ screens without a thought.,向左滑看更多照片。,孩子不假思索地滑屏幕。
tablet,n.,/ˈtæblət/,平板电脑,a flat handheld computer,pad,slate,device,She reads books on a ______.,A ______ is lighter than a laptop for reading.,她用平板电脑看书。,平板比笔记本更轻，适合阅读。
touch,v.,/tʌʧ/,触摸；碰,to feel something with the hand,feel,tap,contact,______ the screen to start the app.,"Do not ______ the hot pan, please.",触摸屏幕启动应用。,请勿触摸热锅。
web server,n.,/wɛb/ /ˈsɜːvə/,网络服务器 same /seɪm/,a computer that serves web pages,server,host,site machine,The ______ was down for an hour.,A fast ______ keeps a site open to all.,网络服务器宕机了一小时。,快速服务器让网站对人人开放。
glove,n.,/ɡlʌv/,（分手指的）手套,a cover for the hand with separate fingers,mitten,hand cover,fingerless glove,He put on a ______ before going out in the cold.,People wear a ______ to protect hands from the cold wind.,他出门前戴上了一双______抵御寒冷。,人们戴______保护双手免受寒风。
go on holiday,phr.,/ɡəʊ/ /ɒn/ /ˈhɒlədeɪ/,去度假,to take a vacation; to travel for rest,take a trip,go travelling,have time off,We ______ in summer when school ends.,Families who ______ learn about new places and cultures.,学校放假后我们______。,去______的家庭能了解新地方与文化。
go sailing,phr.,/ɡəʊ/ /ˈseɪlɪŋ/,去进行帆船运动,to ride a boat with sails for fun,sail a boat,take a sailing trip,go boating,Children like to ______ on the lake at weekends.,Young people who ______ learn to read the wind and water.,孩子们周末喜欢去湖上______。,去______的年轻人学会读懂风与水。
gold,n.,/ɡəʊld/,金子；黄金,a yellow precious metal,golden metal,precious metal,bullion,She wears a ring made of ______.,A country that sells ______ can grow its trade with others.,她戴着一枚______做的戒指。,出口______的国家能促进与他国贸易。
